carrier_code,week_start,fuel_pct_bps,landed_on
MWLG,2025-07-27,1650,2025-07-29
BRFR,2025-08-03,1375,2025-08-05
PLPC,2025-08-03,1225,2025-08-05
MWLG,2025-08-03,1675,2025-08-05
BRFR,2025-08-10,1350,2025-08-12
PLPC,2025-08-10,1275,2025-08-12
MWLG,2025-08-10,1675,2025-08-12
BRFR,2025-08-17,1325,2025-08-19
PLPC,2025-08-17,1325,2025-08-19
MWLG,2025-08-17,1650,2025-08-19
BRFR,2025-08-24,1350,2025-08-26
PLPC,2025-08-24,1325,2025-08-26
MWLG,2025-08-24,1625,2025-08-26
BRFR,2025-08-31,1350,2025-09-02
PLPC,2025-08-31,1325,2025-09-02
MWLG,2025-08-31,1625,2025-09-02
BRFR,2025-09-07,1350,2025-09-09
PLPC,2025-09-07,1300,2025-09-09
MWLG,2025-09-07,1650,2025-09-09
BRFR,2025-09-14,1325,2025-09-16
PLPC,2025-09-14,1300,2025-09-16
MWLG,2025-09-14,1675,2025-09-16
BRFR,2025-09-21,1275,2025-09-23
PLPC,2025-09-21,1325,2025-09-23
MWLG,2025-09-21,1725,2025-09-23
BRFR,2025-09-28,1225,2025-09-30
PLPC,2025-09-28,1375,2025-09-30
MWLG,2025-09-28,1750,2025-09-30
BRFR,2025-10-05,1175,2025-10-07
PLPC,2025-10-05,1450,2025-10-07
MWLG,2025-10-05,1750,2025-10-07
BRFR,2025-10-12,1175,2025-10-14
PLPC,2025-10-12,1525,2025-10-14
MWLG,2025-10-12,1725,2025-10-14
BRFR,2025-10-19,1175,2025-10-21
PLPC,2025-10-19,1550,2025-10-21
MWLG,2025-10-19,1675,2025-10-21
BRFR,2025-10-26,1200,2025-10-28
PLPC,2025-10-26,1575,2025-10-28
MWLG,2025-10-26,1625,2025-10-28
BRFR,2025-11-02,1250,2025-11-04
PLPC,2025-11-02,1575,2025-11-04
MWLG,2025-11-02,1600,2025-11-04
BRFR,2025-11-09,1275,2025-11-11
PLPC,2025-11-09,1550,2025-11-11
MWLG,2025-11-09,1600,2025-11-11
BRFR,2025-11-16,1275,2025-11-18
PLPC,2025-11-16,1550,2025-11-18
MWLG,2025-11-16,1600,2025-11-18
BRFR,2025-11-23,1250,2025-11-25
PLPC,2025-11-23,1550,2025-11-25
MWLG,2025-11-23,1625,2025-11-25
BRFR,2025-11-30,1225,2025-12-02
PLPC,2025-11-30,1600,2025-12-02
MWLG,2025-11-30,1625,2025-12-02
BRFR,2025-12-07,1200,2025-12-09
PLPC,2025-12-07,1650,2025-12-09
MWLG,2025-12-07,1625,2025-12-09
BRFR,2025-12-14,1225,2025-12-16
PLPC,2025-12-14,1700,2025-12-16
MWLG,2025-12-14,1575,2025-12-16
BRFR,2025-12-21,1275,2025-12-23
PLPC,2025-12-21,1700,2025-12-23
MWLG,2025-12-21,1525,2025-12-23
BRFR,2025-12-28,1325,2025-12-30
PLPC,2025-12-28,1700,2025-12-30
MWLG,2025-12-28,1450,2025-12-30
BRFR,2026-01-04,1375,2026-01-06
PLPC,2026-01-04,1675,2026-01-06
MWLG,2026-01-04,1425,2026-01-06
BRFR,2026-01-11,1425,2026-01-13
PLPC,2026-01-11,1625,2026-01-13
MWLG,2026-01-11,1400,2026-01-13
BRFR,2026-01-18,1450,2026-01-20
PLPC,2026-01-18,1600,2026-01-20
MWLG,2026-01-18,1425,2026-01-20
BRFR,2026-01-25,1450,2026-01-27
PLPC,2026-01-25,1575,2026-01-27
MWLG,2026-01-25,1450,2026-01-27
BRFR,2026-02-01,1450,2026-02-03
PLPC,2026-02-01,1600,2026-02-03
MWLG,2026-02-01,1450,2026-02-03
BRFR,2026-02-08,1450,2026-02-10
PLPC,2026-02-08,1625,2026-02-10
MWLG,2026-02-08,1450,2026-02-10
BRFR,2026-02-15,1475,2026-02-17
PLPC,2026-02-15,1625,2026-02-17
MWLG,2026-02-15,1400,2026-02-17
BRFR,2026-02-22,1525,2026-02-24
PLPC,2026-02-22,1625,2026-02-24
MWLG,2026-02-22,1350,2026-02-24
BRFR,2026-03-01,1575,2026-03-03
PLPC,2026-03-01,1600,2026-03-03
MWLG,2026-03-01,1325,2026-03-03
BRFR,2026-03-08,1650,2026-03-10
PLPC,2026-03-08,1550,2026-03-10
MWLG,2026-03-08,1300,2026-03-10
BRFR,2026-03-15,1675,2026-03-17
PLPC,2026-03-15,1500,2026-03-17
MWLG,2026-03-15,1300,2026-03-17
BRFR,2026-03-22,1700,2026-03-24
PLPC,2026-03-22,1450,2026-03-24
MWLG,2026-03-22,1325,2026-03-24
BRFR,2026-03-29,1700,2026-03-31
PLPC,2026-03-29,1425,2026-03-31
MWLG,2026-03-29,1375,2026-03-31
BRFR,2026-04-05,1675,2026-04-07
PLPC,2026-04-05,1425,2026-04-07
MWLG,2026-04-05,1400,2026-04-07
BRFR,2026-04-12,1650,2026-04-14
PLPC,2026-04-12,1425,2026-04-14
MWLG,2026-04-12,1425,2026-04-14
BRFR,2026-04-19,1650,2026-04-21
PLPC,2026-04-19,1450,2026-04-21
MWLG,2026-04-19,1400,2026-04-21
BRFR,2026-04-26,1675,2026-04-28
PLPC,2026-04-26,1425,2026-04-28
MWLG,2026-04-26,1400,2026-04-28
BRFR,2026-05-03,1725,2026-05-05
PLPC,2026-05-03,1400,2026-05-05
MWLG,2026-05-03,1375,2026-05-05
BRFR,2026-05-10,1750,2026-05-12
PLPC,2026-05-10,1350,2026-05-12
MWLG,2026-05-10,1375,2026-05-12
BRFR,2026-05-17,1775,2026-05-19
PLPC,2026-05-17,1300,2026-05-19
MWLG,2026-05-17,1400,2026-05-19
BRFR,2026-05-24,1750,2026-05-26
PLPC,2026-05-24,1250,2026-05-26
MWLG,2026-05-24,1450,2026-05-26
BRFR,2026-05-31,1725,2026-06-02
PLPC,2026-05-31,1250,2026-06-02
MWLG,2026-05-31,1500,2026-06-02
BRFR,2026-06-07,1675,2026-06-09
PLPC,2026-06-07,1250,2026-06-09
MWLG,2026-06-07,1550,2026-06-09
BRFR,2026-06-14,1625,2026-06-16
PLPC,2026-06-14,1300,2026-06-16
MWLG,2026-06-14,1600,2026-06-16
