card_version,carrier_code,service_level,break_seq,upper_bound_g,break_kg,base_cents,zone_step_cents,weight_step_cents,dim_divisor,zone_matrix_json,effective_from,effective_to,landed_on
BL-2025A,BRFR,express_next,2,5000,5,1840,96,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2025-02-01,2026-02-01,2025-01-27
BL-2025A,BRFR,express_next,3,15000,15,1840,96,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2025-02-01,2026-02-01,2025-01-27
BL-2025A,BRFR,express_next,4,30000,30,1840,96,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2025-02-01,2026-02-01,2025-01-27
BL-2025A,BRFR,express_next,5,70000,70,1840,96,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2025-02-01,2026-02-01,2025-01-27
BL-2026A,BRFR,ground_2day,1,1000,1,845,104,44,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2026-02-01,,2026-01-26
BL-2026A,BRFR,ground_2day,2,5000,5,845,104,44,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2026-02-01,,2026-01-26
BL-2026A,BRFR,ground_2day,3,15000,15,845,104,44,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2026-02-01,,2026-01-26
BL-2026A,BRFR,ground_2day,4,30000,30,845,104,44,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2026-02-01,,2026-01-26
BL-2026A,BRFR,ground_2day,5,70000,70,845,104,44,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2026-02-01,,2026-01-26
BL-2026A,BRFR,express_next,1,1000,1,1985,104,103,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2026-02-01,,2026-01-26
BL-2026A,BRFR,express_next,2,5000,5,1985,104,103,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2026-02-01,,2026-01-26
BL-2026A,BRFR,express_next,3,15000,15,1985,104,103,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2026-02-01,,2026-01-26
BL-2026A,BRFR,express_next,4,30000,30,1985,104,103,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2026-02-01,,2026-01-26
BL-2026A,BRFR,express_next,5,70000,70,1985,104,103,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2026-02-01,,2026-01-26
PP-24Q1,PLPC,ground_2day,1,1000,1,780,88,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2024-02-04,2025-01-01,2024-01-29
PP-24Q1,PLPC,ground_2day,2,5000,5,780,88,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2024-02-04,2025-01-01,2024-01-29
PP-24Q1,PLPC,ground_2day,3,15000,15,780,88,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2024-02-04,2025-01-01,2024-01-29
PP-24Q1,PLPC,ground_2day,4,30000,30,780,88,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2024-02-04,2025-01-01,2024-01-29
PP-24Q1,PLPC,ground_2day,5,70000,70,780,88,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2024-02-04,2025-01-01,2024-01-29
PP-24Q1,PLPC,express_next,1,1000,1,1840,88,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2024-02-04,2025-01-01,2024-01-29
PP-24Q1,PLPC,express_next,2,5000,5,1840,88,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2024-02-04,2025-01-01,2024-01-29
PP-24Q1,PLPC,express_next,3,15000,15,1840,88,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2024-02-04,2025-01-01,2024-01-29
PP-24Q1,PLPC,express_next,4,30000,30,1840,88,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2024-02-04,2025-01-01,2024-01-29
PP-24Q1,PLPC,express_next,5,70000,70,1840,88,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2024-02-04,2025-01-01,2024-01-29
PP-25Q1,PLPC,ground_2day,1,1000,1,780,88,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2025-01-01,2026-01-01,2024-12-30
PP-25Q1,PLPC,ground_2day,2,5000,5,780,88,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2025-01-01,2026-01-01,2024-12-30
PP-25Q1,PLPC,ground_2day,3,15000,15,780,88,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2025-01-01,2026-01-01,2024-12-30
PP-25Q1,PLPC,ground_2day,4,30000,30,780,88,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2025-01-01,2026-01-01,2024-12-30
PP-25Q1,PLPC,ground_2day,5,70000,70,780,88,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2025-01-01,2026-01-01,2024-12-30
PP-25Q1,PLPC,express_next,1,1000,1,1840,88,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2025-01-01,2026-01-01,2024-12-30
PP-25Q1,PLPC,express_next,2,5000,5,1840,88,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2025-01-01,2026-01-01,2024-12-30
PP-25Q1,PLPC,express_next,3,15000,15,1840,88,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2025-01-01,2026-01-01,2024-12-30
PP-25Q1,PLPC,express_next,4,30000,30,1840,88,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2025-01-01,2026-01-01,2024-12-30
PP-25Q1,PLPC,express_next,5,70000,70,1840,88,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2025-01-01,2026-01-01,2024-12-30
PP-26Q1,PLPC,ground_2day,1,1000,1,812,93,43,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2026-01-01,,2026-01-26
PP-26Q1,PLPC,ground_2day,2,5000,5,812,93,43,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2026-01-01,,2026-01-26
PP-26Q1,PLPC,ground_2day,3,15000,15,812,93,43,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2026-01-01,,2026-01-26
PP-26Q1,PLPC,ground_2day,4,30000,30,812,93,43,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2026-01-01,,2026-01-26
PP-26Q1,PLPC,ground_2day,5,70000,70,812,93,43,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2026-01-01,,2026-01-26
PP-26Q1,PLPC,express_next,1,1000,1,1912,93,100,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2026-01-01,,2026-01-26
PP-26Q1,PLPC,express_next,2,5000,5,1912,93,100,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2026-01-01,,2026-01-26
PP-26Q1,PLPC,express_next,3,15000,15,1912,93,100,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2026-01-01,,2026-01-26
PP-26Q1,PLPC,express_next,4,30000,30,1912,93,100,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2026-01-01,,2026-01-26
PP-26Q1,PLPC,express_next,5,70000,70,1912,93,100,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":5,""US-NE"":6,""US-SE"":7,""CA-W"":4,""CA-E"":6,""GB"":7,""IE"":8,""DE"":8}}",2026-01-01,,2026-01-26
MW-2024,MWLG,ground_5day,1,1000,1,520,145,28,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2024-02-04,2025-07-01,2024-01-29
MW-2024,MWLG,ground_5day,2,5000,5,520,145,28,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2024-02-04,2025-07-01,2024-01-29
MW-2024,MWLG,ground_5day,3,15000,15,520,145,28,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2024-02-04,2025-07-01,2024-01-29
MW-2024,MWLG,ground_5day,4,30000,30,520,145,28,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2024-02-04,2025-07-01,2024-01-29
MW-2024,MWLG,ground_5day,5,70000,70,520,145,28,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2024-02-04,2025-07-01,2024-01-29
MW-2024,MWLG,freight_std,1,1000,1,4100,145,66,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2024-02-04,2025-07-01,2024-01-29
MW-2024,MWLG,freight_std,2,5000,5,4100,145,66,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2024-02-04,2025-07-01,2024-01-29
MW-2024,MWLG,freight_std,3,15000,15,4100,145,66,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2024-02-04,2025-07-01,2024-01-29
MW-2024,MWLG,freight_std,4,30000,30,4100,145,66,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2024-02-04,2025-07-01,2024-01-29
MW-2024,MWLG,freight_std,5,70000,70,4100,145,66,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2024-02-04,2025-07-01,2024-01-29
MW-2025H2,MWLG,ground_5day,1,1000,1,520,145,28,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2025-07-01,,2025-06-23
MW-2025H2,MWLG,ground_5day,2,5000,5,520,145,28,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2025-07-01,,2025-06-23
MW-2025H2,MWLG,ground_5day,3,15000,15,520,145,28,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2025-07-01,,2025-06-23
MW-2025H2,MWLG,ground_5day,4,30000,30,520,145,28,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2025-07-01,,2025-06-23
MW-2025H2,MWLG,ground_5day,5,70000,70,520,145,28,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2025-07-01,,2025-06-23
MW-2025H2,MWLG,freight_std,1,1000,1,4100,145,66,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2025-07-01,,2025-06-23
MW-2025H2,MWLG,freight_std,2,5000,5,4100,145,66,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2025-07-01,,2025-06-23
MW-2025H2,MWLG,freight_std,3,15000,15,4100,145,66,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2025-07-01,,2025-06-23
MW-2025H2,MWLG,freight_std,4,30000,30,4100,145,66,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2025-07-01,,2025-06-23
MW-2025H2,MWLG,freight_std,5,70000,70,4100,145,66,6000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":2,""US-MW"":4,""US-NE"":5,""US-SE"":5,""CA-W"":3,""CA-E"":5,""GB"":6,""IE"":7,""DE"":7}}",2025-07-01,,2025-06-23
