Logistics cost — FY2026 (draft) — do not circulate,,,,,,,,
,,,,,,,,
Carrier Code,Lane,Fiscal Week,Ship Date,freight_cost,Fuel Surcharge,Accessorials,Unnamed: 7,Notes
BRFR,LANE-15,FY2025-W45,13/12/2025,"230,89",,"260,67",,
BRFR,LANE-16,FY2025-W45,13/12/2025,"3.142,61",,"174,75",,
BRFR,LANE-17,FY2025-W45,07/12/2025,"7.933,76",,"328,20",,"residential surcharge, disputed"
BRFR,LANE-18,FY2025-W45,12/12/2025,"7.417,57",,"336,71",,"estimate, invoice not received"
BRFR ,LANE-19,FY2025-W45,08/12/2025,"5.690,22",,"152,14",,
BRFR,LANE-20,FY2025-W45,07/12/2025,"5.846,17",,"234,15",,"split shipment, one pallet held at origin"
BRFR,LANE-01,FY2025-W46,15/12/2025,"7.826,32",,"116,14",,"residential surcharge, disputed"
BRFR,LANE-02,FY2025-W46,14/12/2025,"9.895,05",,"287,99",,
BRFR,LANE-03,FY2025-W46,20/12/2025,"7.330,17",,"278,86",,"split shipment, one pallet held at origin"
BRFR,LANE-03,FY2025-W46,16/12/2025,"3.636,59",,"46,94",,"lane closed for two days, volume moved"
BRFR,LANE-04,FY2025-W46,18/12/2025,"6.192,79",,"179,93",,"split shipment, one pallet held at origin"
BRFR,LANE-05,FY2025-W46,17/12/2025,"8.507,23",,"3,19",,"re-rated, see ticket SC-1182"
BRFR ,LANE-06,FY2025-W46,18/12/2025,"8.584,88",,"317,99",,
BRFR,LANE-07,FY2025-W46,18/12/2025,"8.222,54",,"258,81",,
BRFR,LANE-08,FY2025-W46,20/12/2025,"10.408,76",,"66,56",,carrier credit applied
BRFR,LANE-09,FY2025-W46,16/12/2025,"1.688,34",,"28,29",,"residential surcharge, disputed"
BRFR,LANE-10,FY2025-W46,18/12/2025,"1.292,59",,"223,37",,
BRFR,LANE-11,FY2025-W46,15/12/2025,"2.597,40",,"290,03",,"re-rated, see ticket SC-1182"
BRFR,LANE-12,FY2025-W46,18/12/2025,"9.272,02",,"166,64",,
BRFR,LANE-12,FY2025-W46,16/12/2025,"3.122,51",,"275,75",,carrier credit applied
BRFR ,LANE-12,FY2025-W46,14/12/2025,"9.064,09",,"97,36",,"split shipment, one pallet held at origin"
BRFR,LANE-13,FY2025-W46,20/12/2025,"1.340,26",,"72,68",,
BRFR,LANE-13,FY2025-W46,18/12/2025,"5.170,78",,"188,95",,
BRFR,LANE-14,FY2025-W46,20/12/2025,"2.451,36",,"17,79",,"re-rated, see ticket SC-1182"
BRFR,LANE-15,FY2025-W46,15/12/2025,"6.035,27",,"176,93",,"re-rated, see ticket SC-1182"
BRFR,LANE-16,FY2025-W46,19/12/2025,"7.447,46",,"92,63",,
BRFR,LANE-17,FY2025-W46,20/12/2025,"11.241,54",,"179,44",,
BRFR,LANE-18,FY2025-W46,17/12/2025,"8.593,59",,"71,11",,"lane closed for two days, volume moved"
BRFR ,LANE-19,FY2025-W46,16/12/2025,"9.163,64",,"50,27",,
BRFR,LANE-20,FY2025-W46,20/12/2025,"5.953,23",,"207,07",,
BRFR,LANE-01,FY2025-W47,24/12/2025,"5.103,99",,"254,94",,
BRFR,LANE-02,FY2025-W47,26/12/2025,"4.119,77",,"140,82",,
BRFR,LANE-02,FY2025-W47,27/12/2025,"9.583,07",,"274,04",,"split shipment, one pallet held at origin"
BRFR,LANE-03,FY2025-W47,23/12/2025,"11.272,48",,"104,45",,
BRFR,LANE-04,FY2025-W47,22/12/2025,"8.663,75",,"149,29",,
BRFR,LANE-04,FY2025-W47,22/12/2025,"8.805,14",,"286,68",,
BRFR ,LANE-04,FY2025-W47,25/12/2025,"1.032,67",,"143,11",,"lane closed for two days, volume moved"
BRFR,LANE-04,FY2025-W47,26/12/2025,"2.011,60",,"87,68",,"estimate, invoice not received"
BRFR,LANE-04,FY2025-W47,27/12/2025,"4.672,55",,"158,44",,"estimate, invoice not received"
BRFR,LANE-05,FY2025-W47,22/12/2025,"4.443,94",,"143,43",,
BRFR,LANE-05,FY2025-W47,25/12/2025,"402,08",,"32,41",,"lane closed for two days, volume moved"
BRFR,LANE-05,FY2025-W47,22/12/2025,"552,74",,"128,34",,"residential surcharge, disputed"
BRFR,LANE-06,FY2025-W47,26/12/2025,"11.229,99",,"206,35",,
BRFR,LANE-07,FY2025-W47,23/12/2025,"2.433,08",,"136,55",,
BRFR ,LANE-08,FY2025-W47,26/12/2025,"9.765,89",,"190,24",,carrier credit applied
BRFR,LANE-08,FY2025-W47,27/12/2025,"2.414,05",,"161,91",,carrier credit applied
BRFR,LANE-09,FY2025-W47,22/12/2025,"10.275,25",,"188,35",,
BRFR,LANE-09,FY2025-W47,21/12/2025,"1.429,85",,"98,61",,
BRFR,LANE-10,FY2025-W47,23/12/2025,"7.263,02",,"0,60",,
BRFR,LANE-10,FY2025-W47,23/12/2025,"6.107,03",,"330,40",,
BRFR,LANE-11,FY2025-W47,23/12/2025,"6.928,91",,"303,63",,"estimate, invoice not received"
BRFR,LANE-12,FY2025-W47,23/12/2025,"5.757,11",,"22,03",,
BRFR ,LANE-12,FY2025-W47,25/12/2025,"3.674,68",,"329,72",,
BRFR,LANE-13,FY2025-W47,22/12/2025,"8.219,45",,"20,33",,
BRFR,LANE-14,FY2025-W47,25/12/2025,"8.258,15",,"6,36",,
BRFR,LANE-15,FY2025-W47,21/12/2025,"6.257,76",,"30,76",,
BRFR,LANE-15,FY2025-W47,24/12/2025,"10.978,22",,"50,09",,
BRFR,LANE-16,FY2025-W47,21/12/2025,"2.485,83",,"173,55",,"re-rated, see ticket SC-1182"
BRFR,LANE-16,FY2025-W47,24/12/2025,"4.417,76",,"188,27",,"lane closed for two days, volume moved"
BRFR,LANE-16,FY2025-W47,21/12/2025,"9.139,72",,"164,47",,"split shipment, one pallet held at origin"
BRFR ,LANE-17,FY2025-W47,22/12/2025,"964,40",,"309,30",,
BRFR,LANE-18,FY2025-W47,25/12/2025,"687,32",,"153,41",,
BRFR,LANE-19,FY2025-W47,26/12/2025,"5.941,27",,"50,97",,
BRFR,LANE-19,FY2025-W47,22/12/2025,"9.380,29",,"1,13",,"split shipment, one pallet held at origin"
BRFR,LANE-20,FY2025-W47,24/12/2025,"7.564,00",,"74,59",,
BRFR,LANE-20,FY2025-W47,23/12/2025,"5.641,81",,"333,78",,"estimate, invoice not received"
BRFR,LANE-01,FY2025-W48,01/01/2026,"1.864,41",,"312,80",,"re-rated, see ticket SC-1182"
BRFR,LANE-02,FY2025-W48,02/01/2026,"10.563,93",,"134,61",,
BRFR ,LANE-02,FY2025-W48,28/12/2025,"1.998,00",,"235,36",,"split shipment, one pallet held at origin"
BRFR,LANE-03,FY2025-W48,30/12/2025,"11.219,64",,"105,34",,
BRFR,LANE-03,FY2025-W48,28/12/2025,"4.927,59",,"189,46",,
BRFR,LANE-04,FY2025-W48,30/12/2025,"2.011,68",,"215,20",,"lane closed for two days, volume moved"
BRFR,LANE-05,FY2025-W48,29/12/2025,"8.359,42",,"218,15",,
BRFR,LANE-06,FY2025-W48,03/01/2026,"4.141,78",,"93,71",,
BRFR,LANE-06,FY2025-W48,01/01/2026,"2.346,87",,"99,28",,"re-rated, see ticket SC-1182"
BRFR,LANE-06,FY2025-W48,31/12/2025,"5.366,86",,"253,19",,
BRFR ,LANE-07,FY2025-W48,30/12/2025,"9.319,30",,"119,60",,
BRFR,LANE-08,FY2025-W48,31/12/2025,"943,66",,"187,79",,carrier credit applied
BRFR,LANE-09,FY2025-W48,30/12/2025,"4.958,12",,"172,80",,"estimate, invoice not received"
BRFR,LANE-10,FY2025-W48,01/01/2026,"3.868,49",,"279,43",,
BRFR,LANE-11,FY2025-W48,29/12/2025,"6.398,00",,"239,65",,
BRFR,LANE-12,FY2025-W48,28/12/2025,"9.217,78",,"154,37",,"lane closed for two days, volume moved"
BRFR,LANE-13,FY2025-W48,03/01/2026,"5.730,36",,"177,19",,"residential surcharge, disputed"
BRFR,LANE-14,FY2025-W48,29/12/2025,"10.341,69",,"153,21",,
BRFR ,LANE-15,FY2025-W48,01/01/2026,"9.665,61",,"316,37",,
BRFR,LANE-16,FY2025-W48,02/01/2026,"7.452,12",,"109,34",,
BRFR,LANE-17,FY2025-W48,01/01/2026,"8.939,81",,"297,65",,"split shipment, one pallet held at origin"
BRFR,LANE-18,FY2025-W48,02/01/2026,"10.500,54",,"248,94",,
BRFR,LANE-18,FY2025-W48,30/12/2025,"4.526,77",,"87,44",,
BRFR,LANE-19,FY2025-W48,30/12/2025,"4.686,70",,"324,10",,"residential surcharge, disputed"
BRFR,LANE-20,FY2025-W48,01/01/2026,"6.740,07",,"209,14",,
BRFR,Subtotal,FY2025-P11,,"777.382,56",,"23.068,68",,
PLPC,LANE-15,FY2025-W44,06/12/2025,"10.285,29",,"320,49",,carrier credit applied
PLPC,LANE-16,FY2025-W44,06/12/2025,"3.451,79",,"158,10",,
PLPC,LANE-16,FY2025-W44,01/12/2025,"8.022,27",,"313,91",,"re-rated, see ticket SC-1182"
PLPC,LANE-16,FY2025-W44,06/12/2025,"3.084,85",,"45,34",,
PLPC,LANE-17,FY2025-W44,30/11/2025,"3.049,68",,"10,35",,"estimate, invoice not received"
PLPC,LANE-18,FY2025-W44,04/12/2025,"4.770,28",,"155,46",,"estimate, invoice not received"
PLPC,LANE-18,FY2025-W44,05/12/2025,"1.640,85",,"316,99",,carrier credit applied
PLPC,LANE-19,FY2025-W44,02/12/2025,"10.670,18",,"249,36",,
PLPC,LANE-20,FY2025-W44,05/12/2025,"3.321,42",,"102,22",,
PLPC,LANE-21,FY2025-W44,04/12/2025,"10.190,35",,"127,33",,
PLPC,LANE-21,FY2025-W44,01/12/2025,"2.169,53",,"304,52",,carrier credit applied
PLPC,LANE-22,FY2025-W44,06/12/2025,"6.242,61",,"250,37",,"split shipment, one pallet held at origin"
PLPC,LANE-23,FY2025-W44,06/12/2025,"9.899,84",,"113,67",,"split shipment, one pallet held at origin"
PLPC,LANE-24,FY2025-W44,01/12/2025,"7.225,44",,"76,23",,
PLPC,LANE-25,FY2025-W44,02/12/2025,"9.078,99",,"192,51",,
PLPC,LANE-26,FY2025-W44,30/11/2025,"7.895,56",,"307,35",,"split shipment, one pallet held at origin"
PLPC,LANE-27,FY2025-W44,30/11/2025,"8.930,90",,"316,07",,
PLPC,LANE-28,FY2025-W44,30/11/2025,"9.601,61",,"325,22",,
PLPC,LANE-29,FY2025-W44,03/12/2025,"7.056,03",,"195,17",,
PLPC,LANE-30,FY2025-W44,04/12/2025,"4.350,89",,"131,33",,"residential surcharge, disputed"
PLPC,LANE-30,FY2025-W44,06/12/2025,"3.314,51",,"217,10",,"estimate, invoice not received"
PLPC,LANE-30,FY2025-W44,01/12/2025,"289,24",,"327,80",,
PLPC,LANE-31,FY2025-W44,02/12/2025,"2.119,93",,"176,27",,carrier credit applied
PLPC,LANE-32,FY2025-W44,05/12/2025,"5.186,83",,"91,27",,
PLPC,LANE-33,FY2025-W44,01/12/2025,"8.246,53",,"157,06",,
PLPC,LANE-34,FY2025-W44,03/12/2025,"2.932,36",,"17,67",,
PLPC,LANE-35,FY2025-W44,05/12/2025,"7.676,64",,"176,44",,"estimate, invoice not received"
PLPC,LANE-36,FY2025-W44,06/12/2025,"710,23",,"126,85",,
PLPC,LANE-37,FY2025-W44,05/12/2025,"6.979,58",,"328,51",,
PLPC,LANE-38,FY2025-W44,04/12/2025,"2.611,76",,"266,70",,
PLPC,LANE-15,FY2025-W45,09/12/2025,"5.392,01",,"119,19",,"residential surcharge, disputed"
PLPC,LANE-16,FY2025-W45,07/12/2025,"1.719,02",,"338,66",,"split shipment, one pallet held at origin"
PLPC,LANE-17,FY2025-W45,09/12/2025,"10.240,94",,"160,54",,
PLPC,LANE-17,FY2025-W45,07/12/2025,"2.656,67",,"328,64",,
PLPC,LANE-18,FY2025-W45,09/12/2025,"7.306,27",,"20,22",,
PLPC,LANE-19,FY2025-W45,08/12/2025,"2.483,52",,"248,92",,
PLPC,LANE-20,FY2025-W45,09/12/2025,"2.940,49",,"249,76",,"lane closed for two days, volume moved"
PLPC,LANE-21,FY2025-W45,08/12/2025,"1.168,38",,"78,71",,"split shipment, one pallet held at origin"
PLPC,LANE-22,FY2025-W45,12/12/2025,"11.300,32",,"195,64",,
PLPC,LANE-23,FY2025-W45,11/12/2025,"1.248,79",,"211,53",,
PLPC,LANE-24,FY2025-W45,13/12/2025,"1.453,99",,"125,93",,
PLPC,LANE-25,FY2025-W45,08/12/2025,"553,28",,"94,86",,
PLPC,LANE-26,FY2025-W45,11/12/2025,"7.271,37",,"52,48",,
PLPC,LANE-27,FY2025-W45,08/12/2025,"7.040,23",,"241,47",,"residential surcharge, disputed"
PLPC,LANE-27,FY2025-W45,10/12/2025,"3.188,91",,"264,90",,
PLPC,LANE-28,FY2025-W45,09/12/2025,"3.427,30",,"243,31",,
PLPC,LANE-29,FY2025-W45,07/12/2025,"3.208,61",,"184,17",,"re-rated, see ticket SC-1182"
PLPC,LANE-30,FY2025-W45,12/12/2025,"4.745,35",,"119,57",,"split shipment, one pallet held at origin"
PLPC,LANE-31,FY2025-W45,11/12/2025,"1.275,85",,"322,07",,"residential surcharge, disputed"
PLPC,LANE-32,FY2025-W45,07/12/2025,"2.944,84",,"250,16",,
PLPC,LANE-33,FY2025-W45,08/12/2025,"1.797,19",,"132,26",,
PLPC,LANE-34,FY2025-W45,12/12/2025,"5.611,13",,"73,86",,"split shipment, one pallet held at origin"
PLPC,LANE-35,FY2025-W45,11/12/2025,"7.597,32",,"248,63",,
PLPC,LANE-36,FY2025-W45,13/12/2025,"6.000,39",,"74,54",,
PLPC,LANE-37,FY2025-W45,07/12/2025,"2.660,22",,"279,60",,
PLPC,LANE-38,FY2025-W45,12/12/2025,"7.279,08",,"64,79",,"estimate, invoice not received"
PLPC,LANE-15,FY2025-W46,16/12/2025,"7.023,88",,"181,08",,
PLPC,LANE-16,FY2025-W46,14/12/2025,"651,05",,"222,54",,
PLPC,LANE-17,FY2025-W46,18/12/2025,"7.024,28",,"281,05",,
PLPC,LANE-17,FY2025-W46,19/12/2025,"3.496,63",,"177,44",,
PLPC,LANE-18,FY2025-W46,14/12/2025,"9.426,73",,"313,64",,
PLPC,LANE-19,FY2025-W46,20/12/2025,"1.788,12",,"290,46",,
PLPC,LANE-19,FY2025-W46,17/12/2025,"7.099,71",,"103,13",,
PLPC,LANE-20,FY2025-W46,19/12/2025,"293,09",,"87,26",,"estimate, invoice not received"
PLPC,LANE-21,FY2025-W46,14/12/2025,"5.779,16",,"107,83",,carrier credit applied
PLPC,LANE-22,FY2025-W46,20/12/2025,"4.148,28",,"78,28",,
PLPC,LANE-23,FY2025-W46,17/12/2025,"845,69",,"209,88",,
PLPC,LANE-23,FY2025-W46,14/12/2025,"9.416,23",,"250,14",,
PLPC,LANE-23,FY2025-W46,14/12/2025,"7.470,95",,"74,85",,"split shipment, one pallet held at origin"
PLPC,LANE-24,FY2025-W46,19/12/2025,"10.557,73",,"2,25",,
PLPC,LANE-25,FY2025-W46,15/12/2025,"8.294,82",,"248,75",,"residential surcharge, disputed"
PLPC,LANE-25,FY2025-W46,20/12/2025,"410,10",,"31,38",,
PLPC,LANE-26,FY2025-W46,15/12/2025,"3.448,59",,"65,12",,
PLPC,LANE-26,FY2025-W46,15/12/2025,"6.421,47",,"284,73",,
PLPC,LANE-27,FY2025-W46,15/12/2025,"9.720,66",,"305,12",,
PLPC,LANE-28,FY2025-W46,19/12/2025,"6.324,72",,"250,60",,
PLPC,LANE-29,FY2025-W46,15/12/2025,"3.094,25",,"101,78",,carrier credit applied
PLPC,LANE-30,FY2025-W46,16/12/2025,"10.093,03",,"220,22",,
PLPC,LANE-31,FY2025-W46,17/12/2025,"6.519,77",,"225,57",,
PLPC,LANE-32,FY2025-W46,19/12/2025,"9.664,43",,"52,70",,
PLPC,LANE-33,FY2025-W46,15/12/2025,"4.846,82",,"313,21",,
PLPC,LANE-34,FY2025-W46,17/12/2025,"5.711,06",,"134,84",,"lane closed for two days, volume moved"
PLPC,LANE-35,FY2025-W46,15/12/2025,"898,69",,"218,29",,"residential surcharge, disputed"
PLPC,LANE-36,FY2025-W46,15/12/2025,"4.120,00",,"226,97",,
PLPC,LANE-37,FY2025-W46,15/12/2025,"1.003,33",,"244,70",,
PLPC,LANE-38,FY2025-W46,19/12/2025,"6.160,35",,"300,36",,
PLPC,LANE-15,FY2025-W47,24/12/2025,"9.574,64",,"44,41",,
PLPC,LANE-18,FY2025-W47,24/12/2025,"10.351,16",,"184,66",,"residential surcharge, disputed"
PLPC,LANE-19,FY2025-W47,23/12/2025,"1.980,03",,"216,69",,"re-rated, see ticket SC-1182"
PLPC,LANE-20,FY2025-W47,27/12/2025,"10.674,04",,"314,91",,
PLPC,LANE-21,FY2025-W47,26/12/2025,"3.817,97",,"50,44",,
PLPC,LANE-22,FY2025-W47,27/12/2025,"3.628,96",,"205,19",,
PLPC,LANE-23,FY2025-W47,21/12/2025,"1.689,38",,"219,11",,"estimate, invoice not received"
PLPC,LANE-24,FY2025-W47,22/12/2025,"5.697,65",,"211,44",,"estimate, invoice not received"
PLPC,LANE-25,FY2025-W47,26/12/2025,"10.764,25",,"284,57",,
PLPC,LANE-26,FY2025-W47,24/12/2025,"451,90",,"63,06",,
PLPC,LANE-27,FY2025-W47,25/12/2025,"5.180,28",,"79,28",,"re-rated, see ticket SC-1182"
PLPC,LANE-29,FY2025-W47,26/12/2025,"7.139,72",,"3,20",,
PLPC,LANE-30,FY2025-W47,24/12/2025,"7.903,48",,"10,67",,
PLPC,LANE-32,FY2025-W47,22/12/2025,"1.666,96",,"104,07",,
PLPC,LANE-33,FY2025-W47,25/12/2025,"8.150,90",,"18,90",,
PLPC,LANE-34,FY2025-W47,22/12/2025,"9.601,63",,"87,71",,
PLPC,LANE-35,FY2025-W47,25/12/2025,"7.775,13",,"272,74",,
PLPC,LANE-36,FY2025-W47,27/12/2025,"5.166,31",,"50,59",,"lane closed for two days, volume moved"
PLPC,LANE-37,FY2025-W47,24/12/2025,"9.043,14",,"54,16",,
PLPC,LANE-38,FY2025-W47,27/12/2025,"8.410,02",,"22,20",,"re-rated, see ticket SC-1182"
PLPC,LANE-15,FY2025-W48,03/01/2026,"9.292,32",,"4,52",,"re-rated, see ticket SC-1182"
PLPC,LANE-16,FY2025-W48,01/01/2026,"2.401,93",,"328,76",,"split shipment, one pallet held at origin"
PLPC,LANE-16,FY2025-W48,01/01/2026,"5.832,73",,"240,11",,"lane closed for two days, volume moved"
PLPC,LANE-17,FY2025-W48,31/12/2025,"1.331,45",,"20,17",,carrier credit applied
PLPC,LANE-18,FY2025-W48,30/12/2025,"5.597,84",,"118,53",,
PLPC,LANE-18,FY2025-W48,28/12/2025,"8.719,83",,"88,51",,
PLPC,LANE-19,FY2025-W48,29/12/2025,"6.210,38",,"135,58",,"estimate, invoice not received"
PLPC,LANE-20,FY2025-W48,30/12/2025,"5.258,15",,"12,76",,"residential surcharge, disputed"
PLPC,LANE-20,FY2025-W48,31/12/2025,"2.695,05",,"5,77",,
PLPC,LANE-21,FY2025-W48,01/01/2026,"10.213,92",,"336,05",,
PLPC,LANE-22,FY2025-W48,03/01/2026,"9.513,88",,"260,13",,"lane closed for two days, volume moved"
PLPC,LANE-23,FY2025-W48,29/12/2025,"1.321,09",,"234,81",,
PLPC,LANE-24,FY2025-W48,29/12/2025,"2.363,71",,"36,24",,
PLPC,LANE-25,FY2025-W48,29/12/2025,"6.905,06",,"182,14",,
PLPC,LANE-26,FY2025-W48,30/12/2025,"9.078,55",,"311,20",,
PLPC,LANE-27,FY2025-W48,02/01/2026,"1.771,09",,"296,04",,
PLPC,LANE-28,FY2025-W48,31/12/2025,"1.943,38",,"199,06",,"re-rated, see ticket SC-1182"
PLPC,LANE-29,FY2025-W48,30/12/2025,"6.710,17",,"297,31",,"residential surcharge, disputed"
PLPC,LANE-30,FY2025-W48,31/12/2025,"7.076,08",,"218,13",,"estimate, invoice not received"
PLPC,LANE-31,FY2025-W48,02/01/2026,"7.759,67",,"181,57",,
PLPC,LANE-31,FY2025-W48,29/12/2025,"7.327,67",,"279,43",,
PLPC,LANE-32,FY2025-W48,03/01/2026,"3.931,20",,"163,82",,
PLPC,LANE-33,FY2025-W48,03/01/2026,"1.149,04",,"29,85",,
PLPC,LANE-34,FY2025-W48,01/01/2026,"1.472,69",,"31,14",,
PLPC,LANE-35,FY2025-W48,29/12/2025,"9.161,89",,"322,43",,
PLPC,LANE-36,FY2025-W48,30/12/2025,"7.462,11",,"129,65",,"split shipment, one pallet held at origin"
PLPC,LANE-37,FY2025-W48,03/01/2026,"8.454,05",,"281,14",,"residential surcharge, disputed"
PLPC,LANE-38,FY2025-W48,29/12/2025,"1.638,68",,"302,27",,
PLPC,LANE-38,FY2025-W48,30/12/2025,"7.967,80",,"147,89",,"estimate, invoice not received"
PLPC,Subtotal,FY2025-P11,,"734.500,02",,"23.919,25",,
MWLG,LANE-25,FY2025-W44,03/12/2025,"4.938,81",,"200,99",,
MWLG,LANE-26,FY2025-W44,30/11/2025,"4.827,45",,"136,77",,
MWLG,LANE-27,FY2025-W44,06/12/2025,"5.303,26",,"250,63",,
MWLG,LANE-28,FY2025-W44,05/12/2025,"9.885,40",,"96,91",,
MWLG,LANE-29,FY2025-W44,04/12/2025,"8.644,13",,"194,71",,"re-rated, see ticket SC-1182"
MWLG,LANE-30,FY2025-W44,05/12/2025,"5.910,26",,"47,58",,"residential surcharge, disputed"
MWLG,LANE-31,FY2025-W44,01/12/2025,"1.703,93",,"261,20",,"estimate, invoice not received"
MWLG,LANE-32,FY2025-W44,05/12/2025,"7.789,18",,"335,10",,
MWLG,LANE-33,FY2025-W44,02/12/2025,"10.336,78",,"264,51",,
MWLG,LANE-34,FY2025-W44,03/12/2025,"10.480,17",,"141,20",,
MWLG,LANE-35,FY2025-W44,05/12/2025,"5.674,26",,"289,07",,"residential surcharge, disputed"
MWLG,LANE-35,FY2025-W44,05/12/2025,"804,05",,"278,87",,
MWLG,LANE-36,FY2025-W44,06/12/2025,"6.870,20",,"210,21",,"lane closed for two days, volume moved"
MWLG,LANE-37,FY2025-W44,04/12/2025,"5.345,25",,"183,27",,"estimate, invoice not received"
MWLG,LANE-38,FY2025-W44,30/11/2025,"1.317,62",,"41,96",,
MWLG,LANE-39,FY2025-W44,30/11/2025,"1.925,89",,"110,66",,"estimate, invoice not received"
MWLG,LANE-39,FY2025-W44,06/12/2025,"9.355,08",,"120,63",,carrier credit applied
MWLG,LANE-40,FY2025-W44,03/12/2025,"1.679,74",,"27,84",,"lane closed for two days, volume moved"
MWLG,LANE-41,FY2025-W44,06/12/2025,"8.289,44",,"191,74",,
MWLG,LANE-42,FY2025-W44,04/12/2025,"6.214,09",,"290,13",,
MWLG,LANE-42,FY2025-W44,02/12/2025,"1.712,82",,"316,61",,"residential surcharge, disputed"
MWLG,LANE-43,FY2025-W44,03/12/2025,"2.625,89",,"257,21",,
MWLG,LANE-44,FY2025-W44,01/12/2025,"7.885,72",,"58,56",,"residential surcharge, disputed"
MWLG,LANE-25,FY2025-W45,09/12/2025,"10.417,44",,"111,97",,
MWLG,LANE-26,FY2025-W45,13/12/2025,"726,93",,"219,11",,
MWLG,LANE-27,FY2025-W45,08/12/2025,"1.465,75",,"146,59",,carrier credit applied
